file_url,relative_path,commit_hash,file_role,role_note,domain,repository_url,number_of_imports,number_of_external_imports,number_of_internal_imports,number_of_standard_imports,number_of_classes,number_of_functions,is_entry_point,has_wait_state,number_of_decorators,number_of_base_classes,has_model_in_path,has_view_in_path,has_test_in_path,has_util_in_path,has_migration_in_path,has_script_in_path,has_middleware_in_path,has_enum_in_path,has_config_in_path,path_depth,functions_to_classes_ratio,external_import_ratio,code_complexity,repository_full_name,github_status,has_route_in_path,has_url_in_path,has_command_in_path,has_interceptor_in_path,has_type_in_path,has_controller_in_path,has_core_in_path,has_ml_in_path,has_setting_in_name,has_conf_in_name,has_main_in_name,has_type_in_name,has_route_in_name,has_url_in_name,has_view_in_name,has_util_in_name,has_migration_prefix_in_name,imports_testing_library,imports_db_orm,imports_enum_lib,imports_cli_lib,imports_http_framework,imports_migration_lib,imports_ml_lib,imports_config_lib,inherits_model_class,inherits_view_class,inherits_serializer_class,inherits_enum_class,inherits_migration_class,inherits_test_class,inherits_middleware_class,inherits_exception_class,has_cli_decorator,has_route_decorator,has_test_decorator,has_dataclass_decorator,has_test_prefix_in_names,has_http_method_in_names,has_setup_teardown_in_names,ratio_test_functions,has_migrate_func_in_names,import_count
https://github.com/invoke-ai/InvokeAI/blob/42c7e73/invokeai/app/api/routers/virtual_boards.py,invokeai/app/api/routers/virtual_boards.py,42c7e73,router,This file is actually both router and view but it should be labled as router because it  have routes. soo i should change it to rout later,Local image generation model,https://api.github.com/repos/invoke-ai/InvokeAI,10,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.5,0,invoke-ai/InvokeAI,available_on_github,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
https://github.com/cookiecutter/cookiecutter-django/blob/55b5e44/{{cookiecutter.project_slug}}/config/wsgi.py,{{cookiecutter.project_slug}}/config/wsgi.py,55b5e44,config,,Developer Tools,https://api.github.com/repos/cookiecutter/cookiecutter-django,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0,cookiecutter/cookiecutter-django,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/mikethwolff/ML-FastAPI/blob/0e9fc0d/tests/test_cleandata.py,tests/test_cleandata.py,0e9fc0d,test,,Predict if income exceeds 50k,https://api.github.com/repos/mikethwolff/ML-FastAPI,2,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.5,0,mikethwolff/ML-FastAPI,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/sqlalchemy/sqlalchemy/blob/5631464/tools/generate_sql_functions.py,tools/generate_sql_functions.py,5631464,script,,,https://api.github.com/repos/sqlalchemy/sqlalchemy,12,1,5,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0833333333333333,0,sqlalchemy/sqlalchemy,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/Kludex/starlette/blob/073fd7b/tests/conftest.py,tests/conftest.py,073fd7b,utility,,,https://api.github.com/repos/Kludex/starlette,7,1,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.1428571428571428,0,Kludex/starlette,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
https://github.com/saleor/saleor/blob/4e97fde/saleor/webhook/tests/circuit_breaker/test_breaker_board_decorator.py,saleor/webhook/tests/circuit_breaker/test_breaker_board_decorator.py,4e97fde,test,,E-commerce Django Application,https://api.github.com/repos/saleor/saleor,7,1,3,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0.0,0.1428571428571428,0,saleor/saleor,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
https://github.com/bentoml/BentoML/blob/73c4dbe/docs/source/build-with-bentoml/snippets/metrics/metric_defs.py,docs/source/build-with-bentoml/snippets/metrics/metric_defs.py,73c4dbe,config,,ML framework for serving ai models,https://api.github.com/repos/bentoml/BentoML,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0,bentoml/BentoML,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/wagtail/wagtail/blob/e4f859a/scripts/check-translation-strings.py,scripts/check-translation-strings.py,e4f859a,script,,Django application for content management,https://api.github.com/repos/wagtail/wagtail,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.3333333333333333,0,wagtail/wagtail,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://github.com/bentoml/BentoML/blob/73c4dbe/src/bentoml/_internal/runner/strategy.py,src/bentoml/_internal/runner/strategy.py,73c4dbe,core,,ML framework for serving ai models,https://api.github.com/repos/bentoml/BentoML,9,0,4,5,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,4,2.0,0.0,3,bentoml/BentoML,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
https://github.com/bentoml/BentoML/blob/73c4dbe/src/bentoml/_internal/frameworks/diffusers_runners/stable_diffusion.py,src/bentoml/_internal/frameworks/diffusers_runners/stable_diffusion.py,73c4dbe,prediction_model,,ML framework for serving ai models,https://api.github.com/repos/bentoml/BentoML,11,5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.4545454545454545,0,bentoml/BentoML,available_on_github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
